shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
300003,42.405893251,-72.532467827,10001
300003,42.4050945157,-72.5323333267,10002
300003,42.4049380845,-72.5323344747,10003
300003,42.4048955898,-72.5318709239,10004
300003,42.4048908432,-72.5314820468,10005
300003,42.404906354,-72.5312823458,10006
300003,42.4049672392,-72.5308882442,10007
300003,42.4049672392,-72.5308882442,20001
300003,42.4049879241,-72.5307541677,20002
300003,42.4050316012,-72.5304734625,20003
300003,42.4051067582,-72.5297415203,20004
300003,42.4045554481,-72.5297103222,20005
300003,42.4042017596,-72.5296749382,20006
300003,42.4039474119,-72.5295782251,20007
300003,42.4034698916,-72.5292742258,20008
300003,42.403215875,-72.5291097605,20009
300003,42.403215875,-72.5291097605,30001
300003,42.4027605023,-72.5288146451,30002
300003,42.4023321702,-72.5285336739,30003
300003,42.4020864168,-72.5283963785,30004
300003,42.4013892878,-72.5280999335,30005
300003,42.4010363261,-72.5279831143,30006
300003,42.4007925222,-72.5279347183,30007
300003,42.4001943014,-72.5279323959,30008
300003,42.4000679529,-72.5279451517,30009
300003,42.3991696294,-72.5280527273,30010
300003,42.3987659557,-72.5280831876,30011
300003,42.3982171236,-72.5280816671,30012
300003,42.3981348086,-72.5280803284,30013
300003,42.3981348086,-72.5280803284,40001
300003,42.3980305431,-72.5280786328,40002
300003,42.3977042588,-72.5280474096,40003
300003,42.3974387025,-72.5279764477,40004
300003,42.3972226673,-72.527891482,40005
300003,42.396820779,-72.5277220429,40006
300003,42.3960663243,-72.5273913774,40007
300003,42.3951507424,-72.5269729498,40008
300003,42.3934369611,-72.5259895787,40009
300017,42.405893251,-72.532467827,10001
300017,42.4050945157,-72.5323333267,10002
300017,42.4049380845,-72.5323344747,10003
300017,42.4048955898,-72.5318709239,10004
300017,42.4048908432,-72.5314820468,10005
300017,42.404906354,-72.5312823458,10006
300017,42.4049672392,-72.5308882442,10007
300017,42.4049672392,-72.5308882442,20001
300017,42.4049879241,-72.5307541677,20002
300017,42.4050316012,-72.5304734625,20003
300017,42.4051067582,-72.5297415203,20004
300017,42.4045554481,-72.5297103222,20005
300017,42.4042017596,-72.5296749382,20006
300017,42.4039474119,-72.5295782251,20007
300017,42.4034698916,-72.5292742258,20008
300017,42.403215875,-72.5291097605,20009
300017,42.403215875,-72.5291097605,30001
300017,42.4027605023,-72.5288146451,30002
300017,42.4023321702,-72.5285336739,30003
300017,42.4020864168,-72.5283963785,30004
300017,42.4013892878,-72.5280999335,30005
300017,42.4010363261,-72.5279831143,30006
300017,42.4007925222,-72.5279347183,30007
300017,42.4001943014,-72.5279323959,30008
300017,42.4000679529,-72.5279451517,30009
300017,42.3991696294,-72.5280527273,30010
300017,42.3987659557,-72.5280831876,30011
300017,42.3982171236,-72.5280816671,30012
300017,42.3981348086,-72.5280803284,30013
300017,42.3981348086,-72.5280803284,40001
300017,42.3980305431,-72.5280786328,40002
300017,42.3977042588,-72.5280474096,40003
300017,42.3974387025,-72.5279764477,40004
300017,42.3972226673,-72.527891482,40005
300017,42.396820779,-72.5277220429,40006
300017,42.3960663243,-72.5273913774,40007
300017,42.3951507424,-72.5269729498,40008
300017,42.3934369611,-72.5259895787,40009
300017,42.3934369611,-72.5259895787,50001
300017,42.3931986092,-72.5258528029,50002
300017,42.3930481603,-72.5257985316,50003
300017,42.3922684441,-72.525530435,50004
