service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S1506-SATCo-Weekday-03,1,1,1,1,1,0,0,20150821,20150828
S1506-Satco-Saturday-01,0,0,0,0,0,1,0,20150822,20150829
S1506-Satco-Sunday-01,0,0,0,0,0,0,1,20150823,20150823
S1508-Satco-Sunday-01,0,0,0,0,0,0,1,20150830,20151004
S1508-SATCo-Weekday-06,1,1,1,1,1,0,0,20150831,20151009
S1508-SATCo-Weekday-06-1010100,1,0,1,0,1,0,0,20150831,20151009
S1508-SATCo-Weekday-06-0101000,0,1,0,1,0,0,0,20150831,20151009
S1508-SATCo-Weekday-06-1111000,1,1,1,1,0,0,0,20150831,20151009
S1508-Satco-Saturday-01,0,0,0,0,0,1,0,20150905,20151010
HTS04-Hulmes-Weekday-04,1,1,1,1,1,0,0,20150821,20151009
HTS04-Hulmes-Weekday-04-0001100,0,0,0,1,1,0,0,20150821,20151009
HTS04-hulmes-Saturday-01,0,0,0,0,0,1,0,20150822,20151010
UM1415-UMTS-Weekday-03,1,1,1,1,1,0,0,20150821,20150907
UM1415-UMTS-Saturday-07,0,0,0,0,0,1,0,20150822,20150905
UM1415-UMTS-Sunday-08,0,0,0,0,0,0,1,20150823,20150906
UM1516-UMTS-Weekday-12,1,1,1,1,1,0,0,20150908,20151009
UM1516-UMTS-Weekday-12-1010100,1,0,1,0,1,0,0,20150908,20151009
UM1516-UMTS-Weekday-12-1110000,1,1,1,0,0,0,0,20150908,20151009
UM1516-UMTS-Weekday-12-0000100,0,0,0,0,1,0,0,20150908,20151009
UM1516-UMTS-Weekday-12-1111000,1,1,1,1,0,0,0,20150908,20151009
UM1516-UMTS-Weekday-12-0001100,0,0,0,1,1,0,0,20150908,20151009
UM1516-UMTS-Saturday-09,0,0,0,0,0,1,0,20150912,20151003
UM1516-UMTS-Sunday-10,0,0,0,0,0,0,1,20150913,20151004
UM1516-UMTS-Saturday-10,0,0,0,0,0,1,0,20151010,20151010
N1505-VATCo-Weekday-01,1,1,1,1,1,0,0,20150821,20150904
N1505-VATCo-Weekday-01-0111100,0,1,1,1,1,0,0,20150821,20150904
N1505-VATCo-Weekday-01-1000000,1,0,0,0,0,0,0,20150821,20150904
N1505-VATCo-Weekday-01-0100000,0,1,0,0,0,0,0,20150821,20150904
N1505-VATCo-Weekday-01-0011100,0,0,1,1,1,0,0,20150821,20150904
N1505-VATCo-Weekday-01-0010000,0,0,1,0,0,0,0,20150821,20150904
N1505-VATCo-Weekday-01-0001100,0,0,0,1,1,0,0,20150821,20150904
N1505-VATCo-Saturday-01,0,0,0,0,0,1,0,20150822,20150905
N1505-VATCo-Sunday-01,0,0,0,0,0,0,1,20150823,20150830
N1509-VATCo-Sunday-00,0,0,0,0,0,0,1,20150906,20151004
N1509-VATCo-Weekday-00,1,1,1,1,1,0,0,20150908,20151009
N1509-VATCo-Weekday-00-0100000,0,1,0,0,0,0,0,20150908,20151009
N1509-VATCo-Weekday-00-1000000,1,0,0,0,0,0,0,20150908,20151009
N1509-VATCo-Weekday-00-0001000,0,0,0,1,0,0,0,20150908,20151009
N1509-VATCo-Weekday-00-0101100,0,1,0,1,1,0,0,20150908,20151009
N1509-VATCo-Weekday-00-0000100,0,0,0,0,1,0,0,20150908,20151009
N1509-VATCo-Weekday-00-0010000,0,0,1,0,0,0,0,20150908,20151009
N1509-VATCo-Weekday-00-0001100,0,0,0,1,1,0,0,20150908,20151009
N1509-VATCo-Weekday-00-0111100,0,1,1,1,1,0,0,20150908,20151009
N1509-VATCo-Weekday-00-1100000,1,1,0,0,0,0,0,20150908,20151009
N1509-VATCo-Weekday-00-1100100,1,1,0,0,1,0,0,20150908,20151009
N1509-VATCo-Saturday-00,0,0,0,0,0,1,0,20150912,20151010
