service_id,date,exception_type
UM1516-UMTS-Weekday-12,20151218,2
UM1516-UMTS-Weekday-12-1110000,20151218,2
UM1516-UMTS-Weekday-12-0000100,20151218,2
UM1516-UMTS-Weekday-12-1111000,20151218,2
UM1516-UMTS-Weekday-12-0001100,20151218,2
UM1516-UMTS-Weekday-12,20151221,2
UM1516-UMTS-Weekday-12-1110000,20151221,2
UM1516-UMTS-Weekday-12-0000100,20151221,2
UM1516-UMTS-Weekday-12-1111000,20151221,2
UM1516-UMTS-Weekday-12-0001100,20151221,2
UM1516-UMTS-Weekday-12,20151222,2
UM1516-UMTS-Weekday-12-1110000,20151222,2
UM1516-UMTS-Weekday-12-0000100,20151222,2
UM1516-UMTS-Weekday-12-1111000,20151222,2
UM1516-UMTS-Weekday-12-0001100,20151222,2
UM1516-UMTS-Weekday-12,20151223,2
UM1516-UMTS-Weekday-12-1110000,20151223,2
UM1516-UMTS-Weekday-12-0000100,20151223,2
UM1516-UMTS-Weekday-12-1111000,20151223,2
UM1516-UMTS-Weekday-12-0001100,20151223,2
UM1516-UMTS-Weekday-12,20151224,2
UM1516-UMTS-Weekday-12-1110000,20151224,2
UM1516-UMTS-Weekday-12-0000100,20151224,2
UM1516-UMTS-Weekday-12-1111000,20151224,2
UM1516-UMTS-Weekday-12-0001100,20151224,2
UM1516-UMTS-Weekday-12,20151228,2
UM1516-UMTS-Weekday-12-1110000,20151228,2
UM1516-UMTS-Weekday-12-0000100,20151228,2
UM1516-UMTS-Weekday-12-1111000,20151228,2
UM1516-UMTS-Weekday-12-0001100,20151228,2
UM1516-UMTS-Weekday-12,20151229,2
UM1516-UMTS-Weekday-12-1110000,20151229,2
UM1516-UMTS-Weekday-12-0000100,20151229,2
UM1516-UMTS-Weekday-12-1111000,20151229,2
UM1516-UMTS-Weekday-12-0001100,20151229,2
UM1516-UMTS-Weekday-12,20151230,2
UM1516-UMTS-Weekday-12-1110000,20151230,2
UM1516-UMTS-Weekday-12-0000100,20151230,2
UM1516-UMTS-Weekday-12-1111000,20151230,2
UM1516-UMTS-Weekday-12-0001100,20151230,2
UM1516-UMTS-Weekday-12,20151231,2
UM1516-UMTS-Weekday-12-1110000,20151231,2
UM1516-UMTS-Weekday-12-0000100,20151231,2
UM1516-UMTS-Weekday-12-1111000,20151231,2
UM1516-UMTS-Weekday-12-0001100,20151231,2
UM1516-UMTS-Weekday-12,20160104,2
UM1516-UMTS-Weekday-12-1110000,20160104,2
UM1516-UMTS-Weekday-12-0000100,20160104,2
UM1516-UMTS-Weekday-12-1111000,20160104,2
UM1516-UMTS-Weekday-12-0001100,20160104,2
UM1516-UMTS-Weekday-12,20160105,2
UM1516-UMTS-Weekday-12-1110000,20160105,2
UM1516-UMTS-Weekday-12-0000100,20160105,2
UM1516-UMTS-Weekday-12-1111000,20160105,2
UM1516-UMTS-Weekday-12-0001100,20160105,2
UM1516-UMTS-Weekday-12,20160106,2
UM1516-UMTS-Weekday-12-1110000,20160106,2
UM1516-UMTS-Weekday-12-0000100,20160106,2
UM1516-UMTS-Weekday-12-1111000,20160106,2
UM1516-UMTS-Weekday-12-0001100,20160106,2
UM1516-UMTS-Weekday-12,20160107,2
UM1516-UMTS-Weekday-12-1110000,20160107,2
UM1516-UMTS-Weekday-12-0000100,20160107,2
UM1516-UMTS-Weekday-12-1111000,20160107,2
UM1516-UMTS-Weekday-12-0001100,20160107,2
UM1516-UMTS-Weekday-12,20160108,2
UM1516-UMTS-Weekday-12-1110000,20160108,2
UM1516-UMTS-Weekday-12-0000100,20160108,2
UM1516-UMTS-Weekday-12-1111000,20160108,2
UM1516-UMTS-Weekday-12-0001100,20160108,2
UM1516-UMTS-Weekday-12,20160111,2
UM1516-UMTS-Weekday-12-1110000,20160111,2
UM1516-UMTS-Weekday-12-0000100,20160111,2
UM1516-UMTS-Weekday-12-1111000,20160111,2
UM1516-UMTS-Weekday-12-0001100,20160111,2
UM1516-UMTS-Weekday-12,20160112,2
UM1516-UMTS-Weekday-12-1110000,20160112,2
UM1516-UMTS-Weekday-12-0000100,20160112,2
UM1516-UMTS-Weekday-12-1111000,20160112,2
UM1516-UMTS-Weekday-12-0001100,20160112,2
UM1516-UMTS-Weekday-12,20160113,2
UM1516-UMTS-Weekday-12-1110000,20160113,2
UM1516-UMTS-Weekday-12-0000100,20160113,2
UM1516-UMTS-Weekday-12-1111000,20160113,2
UM1516-UMTS-Weekday-12-0001100,20160113,2
UM1516-UMTS-Weekday-12,20160114,2
UM1516-UMTS-Weekday-12-1110000,20160114,2
UM1516-UMTS-Weekday-12-0000100,20160114,2
UM1516-UMTS-Weekday-12-1111000,20160114,2
UM1516-UMTS-Weekday-12-0001100,20160114,2
UM1516-UMTS-Weekday-12,20160115,2
UM1516-UMTS-Weekday-12-1110000,20160115,2
UM1516-UMTS-Weekday-12-0000100,20160115,2
UM1516-UMTS-Weekday-12-1111000,20160115,2
UM1516-UMTS-Weekday-12-0001100,20160115,2
UM1516-UMTS-Weekday-12,20160118,2
UM1516-UMTS-Weekday-12-1110000,20160118,2
UM1516-UMTS-Weekday-12-0000100,20160118,2
UM1516-UMTS-Weekday-12-1111000,20160118,2
UM1516-UMTS-Weekday-12-0001100,20160118,2
UM1516-UMTS-Weekday-12,20160215,2
UM1516-UMTS-Weekday-12-1110000,20160215,2
UM1516-UMTS-Weekday-12-0000100,20160215,2
UM1516-UMTS-Weekday-12-1111000,20160215,2
UM1516-UMTS-Weekday-12-0001100,20160215,2
UM1516-UMTS-Weekday-12,20160216,2
UM1516-UMTS-Weekday-12-1110000,20160216,2
UM1516-UMTS-Weekday-12-0000100,20160216,2
UM1516-UMTS-Weekday-12-1111000,20160216,2
UM1516-UMTS-Weekday-12-0001100,20160216,2
UM1516-UMTS-Weekday-12,20160311,2
UM1516-UMTS-Weekday-12-1110000,20160311,2
UM1516-UMTS-Weekday-12-0000100,20160311,2
UM1516-UMTS-Weekday-12-1111000,20160311,2
UM1516-UMTS-Weekday-12-0001100,20160311,2
UM1516-UMTS-Weekday-12,20160314,2
UM1516-UMTS-Weekday-12-1110000,20160314,2
UM1516-UMTS-Weekday-12-0000100,20160314,2
UM1516-UMTS-Weekday-12-1111000,20160314,2
UM1516-UMTS-Weekday-12-0001100,20160314,2
UM1516-UMTS-Weekday-12,20160315,2
UM1516-UMTS-Weekday-12-1110000,20160315,2
UM1516-UMTS-Weekday-12-0000100,20160315,2
UM1516-UMTS-Weekday-12-1111000,20160315,2
UM1516-UMTS-Weekday-12-0001100,20160315,2
UM1516-UMTS-Weekday-12,20160316,2
UM1516-UMTS-Weekday-12-1110000,20160316,2
UM1516-UMTS-Weekday-12-0000100,20160316,2
UM1516-UMTS-Weekday-12-1111000,20160316,2
UM1516-UMTS-Weekday-12-0001100,20160316,2
UM1516-UMTS-Weekday-12,20160317,2
UM1516-UMTS-Weekday-12-1110000,20160317,2
UM1516-UMTS-Weekday-12-0000100,20160317,2
UM1516-UMTS-Weekday-12-1111000,20160317,2
UM1516-UMTS-Weekday-12-0001100,20160317,2
UM1516-UMTS-Weekday-12,20160318,2
UM1516-UMTS-Weekday-12-1110000,20160318,2
UM1516-UMTS-Weekday-12-0000100,20160318,2
UM1516-UMTS-Weekday-12-1111000,20160318,2
UM1516-UMTS-Weekday-12-0001100,20160318,2
UM1516-UMTS-Weekday-12,20160418,2
UM1516-UMTS-Weekday-12-1110000,20160418,2
UM1516-UMTS-Weekday-12-0000100,20160418,2
UM1516-UMTS-Weekday-12-1111000,20160418,2
UM1516-UMTS-Weekday-12-0001100,20160418,2
UM1516-UMTS-Saturday-09,20151219,2
UM1516-UMTS-Saturday-09,20151226,2
UM1516-UMTS-Saturday-09,20160102,2
UM1516-UMTS-Saturday-09,20160109,2
UM1516-UMTS-Saturday-09,20160116,2
UM1516-UMTS-Saturday-09,20160312,2
UM1516-UMTS-Saturday-09,20160319,2
UM1516-UMTS-Sunday-10,20151220,2
UM1516-UMTS-Sunday-10,20151227,2
UM1516-UMTS-Sunday-10,20160103,2
UM1516-UMTS-Sunday-10,20160110,2
UM1516-UMTS-Sunday-10,20160117,2
UM1516-UMTS-Sunday-10,20160313,2
UM1516-UMTS-Weekday-21,20160216,2
UM1516-UMTS-Weekday-21,20160217,2
UM1516-UMTS-Weekday-21,20160218,2
UM1516-UMTS-Weekday-21,20160219,2
UM1516-UMTS-Weekday-21,20160222,2
UM1516-UMTS-Weekday-21,20160223,2
UM1516-UMTS-Weekday-21,20160224,2
UM1516-UMTS-Weekday-21,20160225,2
UM1516-UMTS-Weekday-21,20160226,2
UM1516-UMTS-Weekday-21,20160229,2
UM1516-UMTS-Weekday-21,20160301,2
UM1516-UMTS-Weekday-21,20160302,2
UM1516-UMTS-Weekday-21,20160303,2
UM1516-UMTS-Weekday-21,20160304,2
UM1516-UMTS-Weekday-21,20160307,2
UM1516-UMTS-Weekday-21,20160308,2
UM1516-UMTS-Weekday-21,20160309,2
UM1516-UMTS-Weekday-21,20160310,2
UM1516-UMTS-Weekday-21,20160311,2
UM1516-UMTS-Weekday-21,20160314,2
UM1516-UMTS-Weekday-21,20160315,2
UM1516-UMTS-Weekday-21,20160316,2
UM1516-UMTS-Weekday-21,20160317,2
UM1516-UMTS-Weekday-21,20160318,2
UM1516-UMTS-Weekday-21,20160321,2
UM1516-UMTS-Weekday-21,20160322,2
UM1516-UMTS-Weekday-21,20160323,2
UM1516-UMTS-Weekday-21,20160324,2
UM1516-UMTS-Weekday-21,20160325,2
UM1516-UMTS-Weekday-21,20160328,2
UM1516-UMTS-Weekday-21,20160329,2
UM1516-UMTS-Weekday-21,20160330,2
UM1516-UMTS-Weekday-21,20160331,2
UM1516-UMTS-Weekday-21,20160401,2
UM1516-UMTS-Weekday-21,20160404,2
UM1516-UMTS-Weekday-21,20160405,2
UM1516-UMTS-Weekday-21,20160406,2
UM1516-UMTS-Weekday-21,20160407,2
UM1516-UMTS-Weekday-21,20160408,2
UM1516-UMTS-Weekday-21,20160411,2
UM1516-UMTS-Weekday-21,20160412,2
UM1516-UMTS-Weekday-21,20160413,2
UM1516-UMTS-Weekday-21,20160414,2
UM1516-UMTS-Weekday-21,20160415,2
UM1516-UMTS-Saturday-07,20160326,2
UM1516-UMTS-Saturday-07,20160402,2
UM1516-UMTS-Saturday-07,20160409,2
UM1516-UMTS-Saturday-07,20160416,2
UM1516-UMTS-Saturday-07,20160423,2
UM1516-UMTS-Saturday-07,20160430,2
UM1516-UMTS-Saturday-07,20160507,2
UM1516-UMTS-Saturday-07,20160514,2
UM1516-UMTS-Sunday-08,20160320,2
UM1516-UMTS-Sunday-08,20160327,2
UM1516-UMTS-Sunday-08,20160403,2
UM1516-UMTS-Sunday-08,20160410,2
UM1516-UMTS-Sunday-08,20160417,2
UM1516-UMTS-Sunday-08,20160424,2
UM1516-UMTS-Sunday-08,20160501,2
UM1516-UMTS-Sunday-08,20160508,2
UM1516-UMTS-Weekday-03,20160530,2
N1512-VATCo-Sunday-00,20160117,2
N1512-VATCo-Sunday-00,20160101,1
N1512-VATCo-Sunday-00,20160118,1
N1512-VATCo-Weekday-00,20151225,2
N1512-VATCo-Weekday-00-0100000,20151225,2
N1512-VATCo-Weekday-00-1000000,20151225,2
N1512-VATCo-Weekday-00-1110100,20151225,2
N1512-VATCo-Weekday-00-0001000,20151225,2
